iter,kind,loss
1,val,2.754
10,train,2.438
20,train,2.664
30,train,2.656
40,train,2.577
50,val,2.542
50,train,2.785
60,train,2.533
70,train,2.589
80,train,2.597
90,train,2.574
100,val,2.41
100,train,2.719
110,train,2.419
120,train,2.692
130,train,2.67
140,train,2.661
150,val,2.436
150,train,2.751
160,train,2.467
170,train,2.663
180,train,2.629
190,train,2.553
200,val,2.423
200,train,2.511
210,train,2.553
220,train,2.641
230,train,2.6
240,train,2.602
250,val,2.465
250,train,2.644
260,train,2.63
270,train,2.659
280,train,2.526
290,train,2.54
300,val,2.418
300,train,2.505
310,train,2.751
320,train,2.336
330,train,2.641
340,train,2.71
350,val,2.518
350,train,2.543
360,train,2.596
370,train,2.62
380,train,2.6
390,train,2.269
400,val,2.36
400,train,2.377
410,train,2.581
420,train,2.622
430,train,2.57
440,train,2.547
450,val,2.346
450,train,2.523
460,train,2.541
470,train,2.554
480,train,2.361
490,train,2.501
500,val,2.443
500,train,2.56
510,train,2.57
520,train,2.621
530,train,2.661
540,train,2.479
550,val,2.486
550,train,2.572
560,train,2.567
570,train,2.505
580,train,2.508
590,train,2.601
600,val,2.483
600,train,2.67
610,train,2.6
620,train,2.59
630,train,2.697
640,train,2.42
650,val,2.385
650,train,2.546
660,train,2.632
670,train,2.357
680,train,2.421
690,train,2.496
700,val,2.569
700,train,2.46
710,train,2.478
720,train,2.56
730,train,2.51
740,train,2.476
750,val,2.345
750,train,2.777
760,train,2.586
770,train,2.325
780,train,2.463
790,train,2.563
800,val,2.454
800,train,2.4
810,train,2.553
820,train,2.559
830,train,2.524
840,train,2.525
850,val,2.501
850,train,2.471
860,train,2.509
870,train,2.365
880,train,2.543
890,train,2.546
900,val,2.327
900,train,2.623
910,train,2.274
920,train,2.392
930,train,2.369
940,train,2.628
950,val,2.38
950,train,2.717
960,train,2.557
970,train,2.404
980,train,2.424
990,train,2.554
1000,val,2.37
1000,train,2.517
1010,train,2.353
1020,train,2.428
1030,train,2.524
1040,train,2.664
1050,val,2.405
1050,train,2.444
1060,train,2.483
1070,train,2.34
1080,train,2.334
1090,train,2.55
1100,val,2.494
1100,train,2.511
1110,train,2.528
1120,train,2.426
1130,train,2.704
1140,train,2.691
1150,val,2.44
1150,train,2.404
1160,train,2.473
1170,train,2.599
1180,train,2.413
1190,train,2.484
1200,val,2.332
1200,train,2.364
1210,train,2.393
1220,train,2.711
1230,train,2.695
1240,train,2.395
1250,val,2.418
1250,train,2.351
1260,train,2.395
1270,train,2.41
1280,train,2.752
1290,train,2.271
1300,val,2.448
1300,train,2.482
1310,train,2.516
1320,train,2.595
1330,train,2.654
1340,train,2.618
1350,val,2.381
1350,train,2.698
1360,train,2.426
1370,train,2.507
1380,train,2.472
1390,train,2.413
1400,val,2.447
1400,train,2.325
1410,train,2.419
1420,train,2.418
1430,train,2.474
1440,train,2.434
1450,val,2.374
1450,train,2.568
1460,train,2.622
1470,train,2.434
1480,train,2.431
1490,train,2.656
1500,val,2.408
1500,train,2.536
1510,train,2.667
1520,train,2.389
1530,train,2.573
1540,train,2.527
1550,val,2.417
1550,train,2.345
1560,train,2.418
1570,train,2.459
1580,train,2.262
1590,train,2.535
1600,val,2.406
1600,train,2.554
1610,train,2.501
1620,train,2.563
1630,train,2.596
1640,train,2.464
1650,val,2.442
1650,train,2.542
1660,train,2.603
1670,train,2.8
1680,train,2.447
1690,train,2.578
1700,val,2.348
1700,train,2.388
1710,train,2.262
1720,train,2.44
1730,train,2.413
1740,train,2.416
1750,val,2.318
1750,train,2.531
1760,train,2.472
1770,train,2.369
1780,train,2.567
1790,train,2.559
1800,val,2.413
1800,train,2.523
1810,train,2.435
1820,train,2.475
1830,train,2.629
1840,train,2.456
1850,val,2.414
1850,train,2.501
1860,train,2.447
1870,train,2.566
1880,train,2.304
1890,train,2.34
1900,val,2.376
1900,train,2.48
1910,train,2.558
1920,train,2.62
1930,train,2.436
1940,train,2.471
1950,val,2.384
1950,train,2.273
1960,train,2.46
1970,train,2.239
1980,train,2.414
1990,train,2.47
2000,val,2.407
2000,train,2.495
2010,train,2.687
2020,train,2.416
2030,train,2.503
2040,train,2.481
2050,val,2.456
2050,train,2.505
2060,train,2.5
2070,train,2.447
2080,train,2.427
2090,train,2.706
2100,val,2.403
2100,train,2.287
2110,train,2.409
2120,train,2.52
2130,train,2.538
2140,train,2.552
2150,val,2.389
2150,train,2.581
2160,train,2.461
2170,train,2.43
2180,train,2.374
2190,train,2.359
2200,val,2.296
2200,train,2.38
2210,train,2.349
2220,train,2.401
2230,train,2.478
2240,train,2.483
2250,val,2.443
2250,train,2.42
2260,train,2.665
2270,train,2.588
2280,train,2.45
2290,train,2.36
2300,val,2.31
2300,train,2.364
2310,train,2.461
2320,train,2.464
2330,train,2.487
2340,train,2.582
2350,val,2.37
2350,train,2.49
2360,train,2.629
2370,train,2.594
2380,train,2.541
2390,train,2.528
2400,val,2.42
2400,train,2.198
2410,train,2.494
2420,train,2.681
2430,train,2.652
2440,train,2.215
2450,val,2.337
2450,train,2.548
2460,train,2.432
2470,train,2.291
2480,train,2.412
2490,train,2.628
2500,val,2.384
2500,train,2.484
